X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
"<ChAged15ByCD4Cat MV>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",Females CD4: 350-500 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.00275,0.0043,0.00676,0.01042,0.0157,0.02787,0.04833,0.08087,0.13609,0.20939,0.32654,0.48942,0.71643,1.01671,1.42411,1.94014,2.64825,3.48825,4.3227,5.35453,6.55083,7.66074,8.58015,9.59953,10.90875,14.39452,17.88131,21.51971,25.78446,31.20715,40.32648,52.01917,45.73006,53.4789,43.34673,43.34673,43.34673,43.34673,43.34673,43.34673
",Females CD4: 250-349 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893333,0.002166667,0.003393333,0.005333333,0.008226667,0.012386667,0.021993333,0.038133333,0.063813333,0.107386667,0.16522,0.25766,0.38618,0.5653,0.801706667,1.118286667,1.50922,1.922333333,2.23732,3.223073333,4.274493333,5.56458,7.096806667,9.14918,11.32166667,13.37896,15.98666,19.42202667,23.19578667,25.76869333,29.00616667,31.15136,34.55321333,27.11595333,29.94796667,22.94993333,22.94993333,22.94993333,22.94993333,22.94993333,22.94993333
",Females CD4: 200-249 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000946667,0.001083333,0.001696667,0.002666667,0.004113333,0.006193333,0.010996667,0.019066667,0.031906667,0.053693333,0.08261,0.12883,0.19309,0.28265,0.400853333,0.559143333,0.75461,0.961166667,1.11866,1.611536667,2.137246667,2.78229,3.548403333,4.57459,5.660833333,6.68948,7.99333,9.711013333,11.59789333,12.88434667,14.50308333,15.57568,17.27660667,13.55797667,14.97398333,11.47496667,11.47496667,11.47496667,11.47496667,11.47496667,11.47496667
",Females CD4: 100-199 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148,0.0133665,0.063658,0.4129825,1.486044,2.4338195,3.14783,3.8340365,4.5852135,6.029359,7.8054235,8.8051495,10.357571,12.7063125,14.1883455,15.964151,18.5805235,21.449582,24.1968265,22.081591,22.701623,18.31298,18.31298,18.31298,18.31298,18.31298,18.31298
",Females CD4: 50-99 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006888,0.0080199,0.0381948,0.2477895,0.8916264,1.4602917,1.888698,2.3004219,2.7511281,3.6176154,4.6832541,5.2830897,6.2145426,7.6237875,8.5130073,9.5784906,11.1483141,12.8697492,14.5180959,13.2489546,13.6209738,10.987788,10.987788,10.987788,10.987788,10.987788,10.987788
",Females CD4: <50 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014432,0.0168036,0.0800272,0.519178,1.8681696,3.0596588,3.957272,4.8199316,5.7642684,7.5797656,9.8125324,11.0693308,13.0209464,15.97365,17.8367772,20.0692184,23.3583724,26.9651888,30.4188676,27.7597144,28.5391832,23.022032,23.022032,23.022032,23.022032,23.022032,23.022032
508,14,CENTER_Tete,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",Males CD4: >500+: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00007,0.0009,0.01839,0.01502,0.02215,0.0331,0.04602,0.06679,0.11331,0.19018,0.30008,0.46563,0.71636,1.05824,1.52919,2.08149,2.83613,3.78912,4.96024,6.28766,8.20542,10.04168,12.04968,14.46397,17.04931,19.44044,21.97964,24.91767,27.01563,27.89379,27.50197,26.19392,22.90764,17.35415,16.6251,12.27964,11.75297,8.10366,8.10366,8.10366,8.10366,8.10366,8.10366
",Males CD4: 350-500: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00008,0.00116,0.02448,0.01994,0.0294,0.04399,0.0611,0.08863,0.15046,0.25261,0.39853,0.61839,0.95142,1.40534,2.0307,2.76353,3.7652,5.02994,6.58403,8.34433,10.89457,13.339,16.01845,19.24951,22.72044,25.94278,29.36859,33.33592,32.92097,33.50627,33.35899,32.08884,28.27223,20.96888,21.28846,15.68496,15.35219,10.71948,10.71948,10.71948,10.71948,10.71948,10.71948
",Males CD4: 250-349: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006,0.000866667,0.018673333,0.015153333,0.022333333,0.03342,0.046413333,0.067306667,0.114326667,0.191986667,0.30288,0.46994,0.723,1.067833333,1.542893333,2.099146667,2.85976,3.819973333,4.999633333,6.335006667,8.274746667,9.387946667,10.74816,12.52020667,14.67482,16.21892,17.66834,19.97005333,21.03518667,21.68647333,22.16121333,21.80415333,19.46342667,14.20646,14.81501333,10.97744,11.16061333,7.974386667,7.974386667,7.974386667,7.974386667,7.974386667,7.974386667
