Major area region country or area,Country Code,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Saint Vincent and the Grenadines,670,-1,-1,-1,-1,-1,1,0,1,3,7,6,6,13,7,8,16,6,28,31,45,51,-1,-1
Samoa,882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,2,1,2,0,0,0,0,0
San Marino,674,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,0
Sao Tome and Principe,678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,2,2,1,4,6,11,25,10,19,-1
Saudi Arabia,682,0,0,0,0,0,0,0,13,3,6,7,5,10,6,12,38,37,100,112,39,24,24,-1
Senegal,686,0,0,0,0,0,0,0,6,60,115,88,156,127,96,263,534,396,327,225,311,208,-1,-1
Seychelles,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,3,3,6,6,5,5,8,4,-1
Sierra Leone,694,0,0,0,0,0,0,0,0,2,13,12,7,17,37,23,22,29,62,67,26,-1,-1,-1
Singapore,702,-1,-1,-1,-1,-1,-1,-1,1,3,6,5,8,12,18,22,48,56,92,88,125,140,143,59
Slovakia,703,-1,-1,-1,0,0,0,1,2,0,0,0,0,0,1,3,4,2,0,5,3,2,4,1
Slovenia,705,-1,-1,-1,0,0,0,0,2,1,2,5,2,7,4,7,6,14,10,1,14,9,7,3
Solomon Islands,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
Somalia,706,0,0,0,0,0,0,0,0,1,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
South Africa,710,0,0,0,2,4,8,8,34,51,98,184,345,549,887,1882,3816,4219,738,-1,-1,-1,-1,-1
Spain,724,-1,-1,-1,0,7,12,66,155,543,1370,2367,2830,3904,5272,5472,7066,6754,6930,6058,4192,3458,2958,1614
Sri Lanka,144,0,0,0,0,0,0,0,0,2,2,3,2,3,10,11,14,11,11,9,15,-1,-1,-1
Sudan,736,0,0,0,0,0,0,0,2,2,64,122,130,188,184,191,201,257,221,270,511,517,652,492
Suriname,740,-1,-1,-1,-1,1,1,0,8,5,13,29,33,16,28,35,26,20,-1,120,112,103,-1,-1
Swaziland,748,0,0,0,0,0,0,0,0,1,2,7,20,31,216,165,120,154,613,1466,733,1259,-1,-1
Sweden,752,-1,-1,-1,0,6,10,26,49,69,96,121,131,137,126,176,181,198,156,77,63,74,54,21
Switzerland,756,-1,-1,-1,-1,18,20,58,90,165,348,453,456,612,643,672,711,736,543,565,423,262,257,175
Syrian Arab Republic,760,-1,-1,-1,-1,-1,-1,-1,1,1,2,8,1,7,3,3,4,6,9,8,8,7,7,12
Tajikistan,762,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,764,-1,-1,-1,-1,-1,2,2,1,15,13,71,166,600,1806,6949,13923,20686,24709,26713,27128,26003,23352,9345
TFYR Macedonia,807,-1,-1,-1,0,0,0,0,0,0,0,2,1,0,4,5,8,5,2,1,3,5,4,3
Togo,768,0,0,0,0,0,0,0,0,6,20,166,458,628,824,1330,1284,1710,1527,1211,1623,998,262,-1
Tonga,776,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,1,2,0,2,0,1,1,0,-1
Trinidad and Tobago,780,-1,-1,-1,-1,8,13,41,73,82,134,119,176,242,279,280,247,324,323,291,355,397,-1,-1
Tunisia,788,0,0,0,0,0,0,0,6,14,23,19,36,36,38,52,50,65,54,62,44,42,-1,-1
Turkey,792,-1,-1,-1,-1,-1,-1,1,2,7,9,11,14,17,28,29,34,34,37,38,29,28,46,27
Turkmenistan,795,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1
Turks and Caicos Islands,796,-1,-1,-1,-1,-1,-1,1,2,2,6,7,1,2,4,14,0,0,0,0,0,-1,-1,-1
Tuvalu,798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Uganda,800,0,0,0,0,17,11,440,442,2914,3425,6090,6616,10235,6362,4641,4927,2192,3032,1962,1406,1149,-1,-1
