cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
566,Nigeria,,Remaining Pop,Anambra,Naomi,NGA,female,2570,3002,4234,9268,14302,15090,17175,18512,19849,21298,23342
566,Nigeria,,Remaining Pop,Anambra,Naomi,NGA,male,1930,1996,2062,4262,6462,6860,7919,8483,9047,10011,11259
566,Nigeria,,Remaining Pop,Bauchi,Naomi,NGA,female,3486,4072,5751,7040,7947,8487,8798,10314,11776,12246,15693
566,Nigeria,,Remaining Pop,Bauchi,Naomi,NGA,male,2371,2767,2265,4404,3283,3207,3955,4591,5644,5616,6990
566,Nigeria,,Remaining Pop,Benue,Naomi,NGA,female,69085,77720,86356,88567,90778,92989,95201,97412,99623,124493,143997
566,Nigeria,,Remaining Pop,Benue,Naomi,NGA,male,8552,9728,10903,12079,19068,26056,29250,32444,35638,45131,54325
566,Nigeria,,Remaining Pop,Borno,Naomi,NGA,female,3778,4412,6232,13025,6986,5702,6953,7980,8171,8361,8023
566,Nigeria,,Remaining Pop,Borno,Naomi,NGA,male,3606,4209,3445,6704,2772,2829,3011,3192,3374,4269,4049
566,Nigeria,,Remaining Pop,Bayelsa,Naomi,NGA,female,812,949,1340,1625,1828,2572,2808,3509,3887,4137,4840
566,Nigeria,,Remaining Pop,Bayelsa,Naomi,NGA,male,610,712,583,763,772,1010,1209,1471,1565,1721,1981
566,Nigeria,,Remaining Pop,CrossRiver,Naomi,NGA,female,3284,3835,5417,12521,11419,15054,15442,16882,18966,24518,36710
566,Nigeria,,Remaining Pop,CrossRiver,Naomi,NGA,male,2873,3354,2745,4698,5075,6491,6663,7335,8401,12614,18382
566,Nigeria,,Remaining Pop,Delta,Naomi,NGA,female,2830,3306,4669,9383,12046,14718,15644,16571,17497,18981,26924
566,Nigeria,,Remaining Pop,Delta,Naomi,NGA,male,1906,2225,1821,4033,4816,5130,5599,6067,6536,7716,20538
566,Nigeria,,Remaining Pop,Ebonyi,Naomi,NGA,female,724,845,1671,4058,4137,3620,4628,5668,5506,5254,5486
566,Nigeria,,Remaining Pop,Ebonyi,Naomi,NGA,male,658,768,899,2069,1903,1701,1990,2558,2285,2256,2346
566,Nigeria,,Remaining Pop,Edo,Naomi,NGA,female,5715,6896,8077,9258,10438,11619,12800,13981,15162,16575,18318
566,Nigeria,,Remaining Pop,Edo,Naomi,NGA,male,4381,4563,4746,4928,5111,5293,5475,5658,5840,7001,6924
